,issueid,sentence,label
0,34140, Architecture? I find this in stack overflow ' ),-1
1,33997, can try ask over on stack overflow or on Reactiflux. ' ),0
2,33987, can try ask over on stack overflow or on Reactiflux. ' ),0
3,33929, can try ask over on stack overflow or on Reactiflux. ' ),0
4,32657, mention in the link of stack overflow for the same issue ...,0
5,32657, mention in the link of stack overflow for the same issue ...,0
6,34109, suggest to seek assistance on stack overflow or other forum as this,0
7,34109, please try ask over on stack overflow as it be well suit,0
8,33415, - to's. please refer to stack overflow or similar for these type,0
9,33405," modules, IOS/Xcode cache etc see stack overflow and check with the react",0
10,33687," like all the people on stack overflow "" )",0
11,33762, please try ask over on stack overflow as it be well suit,0
12,33712, please try ask over on stack overflow as it be well suit,0
13,33787, please try ask over on stack overflow as it be well suit,0
14,33633, override NDK_OUT result in many SO ile not getting package in,-1
15,33701, can try ask over on stack overflow or on Reactiflux. ' ),0
16,31937, portion of the answer on stack overflow include some variation of use,0
17,29568, se. the first answer on stack overflow explain why this be happening:,0
18,33853, can try ask over on stack overflow or on Reactiflux. ' ),0
19,33681, can try ask over on stack overflow or on Reactiflux. ' ),0
20,33975, you post this also on stack overflow so you might get a,0
21,225,"  ( 1599, ' http:// stack overflow com/questions/22152162/npm-cannot-install-dependencies-attempt-to-unlock-something-which-hasnt-been# try this ' )",0
22,329," 1676, ' please check http:// stack overflow com/questions/29314839/cant-launch-chrome-devtools-in-ios-simulator, fix my debug problem.",0
23,354, go to link to the stack overflow answer I give you here:,0
24,354, I give you here: http:// stack overflow com/a/29301756/125680 and my blog post,0
25,432, who need that info http:// stack overflow com/questions/29311326/how-to-create-a-simple-animation-effect I also find that,-1
26,521, ' be just read http:// stack overflow com/questions/29308937/trouble-requiring-image-module-in-react-native apparently a recent update,0
27,500, issue as this one on stack overflow that seem to have multiple,0
28,500, have multiple potential solutions: http:// stack overflow com/questions/29287987/ suggest give each of,0
29,500, none of the suggestion on stack overflow make any difference. this be,0
30,844, sometimes fix network issues: http:// stack overflow com/questions/2763733/how-to-reset-iphone-simulator. could there be something,-1
31,844, sometimes fix network issues: http:// stack overflow com/questions/2763733/how-to-reset-iphone-simulator. could there be something,-1
32,863," this ( slightly ) relate stack overflow question and answer, and decide",0
33,793," with the same result.Â\xa0 http:// stack overflow com/q/29552377/125680 on Sat, Apr 11,",0
34,957, :( it be this: http:// stack overflow com/questions/8624519/simulator-slow-motion-animations-are-now-on somehow I have toggle,-1
35,415, a good solution of http:// stack overflow com/questions/29313244/how-to-auto-slide-the-window-out-from-behind-keyboard-when-textinput-has-focus'),0
36,1404, refer to this answer in stack overflow hide show component ' ),-1
37,1062, UIViewGroupOpacity or rasterization ? http:// stack overflow com/questions/8581994/ios-controlling-uiview-alpha-behaviour-for-subviews'),-1
38,1434, 24 hour time display? - stack overflow - it use the fact,-1
39,1434," class, something like this: http:// stack overflow com/a/5938858/798533 ( use the [",0
