,issueid,sentence,label
0,31552, would be well suited to stack overflow as mention in the guideline,0
1,31551," questions, please follow up on stack overflow or Gitter. as mention in",0
2,31564, would be well suited to stack overflow as mention in the guideline,0
3,31572, the entry recommend in the stack overflow answer 127.0.0.1 Monroes - MacBook,-1
4,31681," questions, please follow up on stack overflow or Gitter. as mention in",0
5,31717," questions, please follow up on stack overflow or Gitter. as mention in",0
6,30197, would be well suited to stack overflow as mention in the guideline,0
7,30198, would be well suited to stack overflow as mention in the guideline,0
8,30207, please follow - up on stack overflow as mention in the guideline,0
9,30197, would be well suited to stack overflow as mention in the guideline,0
10,30412, would be well suited to stack overflow as mention in the guideline,0
11,30411, that’s also be ask on stack overflow @pbaddi please don’t ask the,0
12,30455," Tomcat user mailing list or stack overflow "" )",0
13,30052," some guidance, please ask on stack overflow or Gitter as we prefer",0
14,30474," questions, please follow up on stack overflow or Gitter. as mention in",0
15,30474," questions, please follow up on stack overflow or Gitter. as mention in",0
16,30502, would be well suited to stack overflow so please follow up with,0
17,30502, I add your answer to stack overflow ' ),0
18,30503, would be well suited to stack overflow please follow up there if,0
19,30504, Questions like this belong on stack overflow as mention in the guideline,0
20,30504, and enhancements. before ask on stack overflow please take a moment to,0
21,30508, please follow - up on stack overflow as mention in the guideline,0
22,30519, please follow - up on stack overflow as mention in the guideline,0
23,30556," questions, please follow up on stack overflow or Gitter. as mention in",0
24,30533, would be well suited to stack overflow ' ),0
25,30644, would be well suited to stack overflow as mention in the guideline,0
26,30660, would be well suited to stack overflow as mention in the guideline,0
27,30694," more help, please ask on stack overflow "" )",0
28,30734, would be well suited to stack overflow there' also no indication that,0
29,30734, question please post they in stack overflow as request above. ' ),0
30,28450, in Spring Kafka's Github and stack overflow so we can see something,0
31,30777, validator ... until someone at stack overflow point to I that it,-1
32,30856," create a new question on stack overflow Thanks! "" )",0
33,30866," guidance, please follow up on stack overflow or Gitter. if you believe",0
34,30867," questions, please follow up on stack overflow or Gitter. as mention in",0
35,30976," questions, please follow up on stack overflow or Gitter. as mention in",0
36,30985," questions, please follow up on stack overflow or Gitter. as mention in",0
37,31006, would be well suited to stack overflow as mention in the guideline,0
38,31006, I post this question to stack overflow ' ),0
39,31064, please ask a question on stack overflow as mention in the guideline,0
40,31113, would be well suited to stack overflow as mention in the guideline,0
41,31113, post this question to [ stack overflow ] SO-url,0
42,31131, let's continue the conversation on stack overflow for now as it could,0
43,31164, try to help you on stack overflow H2 have be upgrade to,0
44,31859," forward, please ask question on stack overflow as mention in the guideline",0
45,31397," questions, please follow up on stack overflow or Gitter. as mention in",0
46,31476, would be well suited to stack overflow as mention in the guideline,0
47,31511, pop up quite regularly on stack overflow as well. would it make,0
48,31511, pop up quite regularly on stack overflow as well. would it make,0
49,31511, pop up quite regularly on stack overflow as well. would it make,0
50,31511, pop up quite regularly on stack overflow as well. would it make,0
51,105," channel for ask questions. maybe stack overflow or email? "" )",0
52,116," contribute and ask question on stack overflow "" )",0
53,110, or be that just the SO ink)? be you write a,0
54,137, post general howto question on stack overflow ( easy for people to,0
