,issueid,sentence,label
0,152343, please search for help on stack overflow where the community have already,0
1,152565, please search for help on stack overflow where the community have already,0
2,152596, please search for help on stack overflow where the community have already,0
3,152565, please search for help on stack overflow where the community have already,0
4,152540, please search for help on stack overflow where the community have already,0
5,153115, please search for help on stack overflow where the community have already,0
6,153198, three question about this on stack overflow SO-url SO-url SO-url,0
7,153198," the upvote on the relevant SO osts, there be 15 upvotes.",-1
8,153266, please search for help on stack overflow where the community have already,0
9,155670, please search for help on stack overflow where the community have already,0
10,154589, please search for help on stack overflow where the community have already,0
11,154671, please search for help on stack overflow where the community have already,0
12,154690, please search for help on stack overflow where the community have already,0
13,154823, please search for help on stack overflow where the community have already,0
14,154904, please search for help on stack overflow where the community have already,0
15,155111, please search for help on stack overflow where the community have already,0
16,155010, please search for help on stack overflow where the community have already,0
17,154226, please search for help on stack overflow where the community have already,0
18,153765, please search for help on stack overflow where the community have already,0
19,150069, please search for help on stack overflow where the community have already,0
20,149156, please search for help on stack overflow where the community have already,0
21,150661, please search for help on stack overflow where the community have already,0
22,150647, please search for help on stack overflow where the community have already,0
23,150628, please search for help on stack overflow where the community have already,0
24,150457," relacionado a esse post no stack overflow SO-url Nesse post, tambem ha",-1
25,151058, please search for help on stack overflow where the community have already,0
26,151115, please search for help on stack overflow where the community have already,0
27,151195, please search for help on stack overflow where the community have already,0
28,125609," please help I "" than stack overflow ) would have the follow",0
29,125609, a replacement for thing like stack overflow if give enough time to,0
30,125609," as an example of why stack overflow be generally bad for this,",0
31,125609," could theoretically directly influence, whereas stack overflow ( for example ) be",0
32,125609," in favor of Discussions. like stack overflow "" )",0
33,125609, abandon Glitter itself ( or stack overflow ) in favor of discussion,-1
34,125609, there be 20k answer on stack overflow the answer would not be,-1
35,125609, that make deprecate something like stack overflow difficult. I imagine you would,0
36,151306, please search for help on stack overflow where the community have already,0
37,151313, please search for help on stack overflow where the community have already,0
38,151413, please search for help on stack overflow where the community have already,0
39,151791, please search for help on stack overflow where the community have already,0
40,151296, please search for help on stack overflow where the community have already,0
41,152262, please search for help on stack overflow where the community have already,0
42,155359, please search for help on stack overflow where the community have already,0
43,155406, please search for help on stack overflow where the community have already,0
44,155408, please search for help on stack overflow where the community have already,0
45,155420," after that git hub and stack overflow … on Sun, 17 jul,",0
46,150116, follow be this comment in stack overflow I resolve this issue by,0
47,155457, please search for help on stack overflow where the community have already,0
48,155459, please search for help on stack overflow where the community have already,0
49,155515, please search for help on stack overflow where the community have already,0
50,155695, please search for help on stack overflow where the community have already,0
51,155759, please search for help on stack overflow where the community have already,0
52,155237, please search for help on stack overflow where the community have already,0
53,141365, differ depend on keyboard layout. so issue be in convert from code,-1
54,64618, as describe in the link SO ost. not sure if there\'s,0
55,154408, please search for help on stack overflow where the community have already,0
56,154378, please search for help on stack overflow where the community have already,0
57,154484, please search for help on stack overflow where the community have already,0
58,154488, please search for help on stack overflow where the community have already,0
59,144946, please search for help on stack overflow where the community have already,0
60,145050, please search for help on stack overflow where the community have already,0
61,145251, please search for help on stack overflow where the community have already,0
62,145167, please search for help on stack overflow where the community have already,0
63,145112, please search for help on stack overflow where the community have already,0
64,145362, please search for help on stack overflow where the community have already,0
65,145390, please search for help on stack overflow where the community have already,0
66,145402, please search for help on stack overflow where the community have already,0
67,145438, please search for help on stack overflow where the community have already,0
68,145521, please search for help on stack overflow where the community have already,0
69,145467, please search for help on stack overflow where the community have already,0
70,145517, please search for help on stack overflow where the community have already,0
71,145643, please search for help on stack overflow where the community have already,0
72,145658, please search for help on stack overflow where the community have already,0
73,145660, please search for help on stack overflow where the community have already,0
74,145780, please search for help on stack overflow where the community have already,0
75,145878, please search for help on stack overflow where the community have already,0
76,145905, please search for help on stack overflow where the community have already,0
77,145954, please search for help on stack overflow where the community have already,0
78,146016, please search for help on stack overflow where the community have already,0
79,146119, please search for help on stack overflow where the community have already,0
80,146328, please search for help on stack overflow where the community have already,0
81,146356, please search for help on stack overflow where the community have already,0
82,146391, please search for help on stack overflow where the community have already,0
83,146413, please search for help on stack overflow where the community have already,0
84,146581, please search for help on stack overflow where the community have already,0
85,146629, please search for help on stack overflow where the community have already,0
86,146642, please search for help on stack overflow where the community have already,0
87,146707, please search for help on stack overflow where the community have already,0
88,146707, please search for help on stack overflow other-url where the community have,0
89,143220, please search for help on stack overflow where the community have already,0
90,146743, please search for help on stack overflow where the community have already,0
91,146756, please search for help on stack overflow where the community have already,0
92,146619, please search for help on stack overflow where the community have already,0
93,146898, please search for help on stack overflow where the community have already,0
94,146898," is. this be also why SO r similar, be not the",-1
95,146898, apart from the fact that SO ork with an absolutely mind,-1
96,146849, please search for help on stack overflow where the community have already,0
97,147266, please search for help on stack overflow where the community have already,0
98,147352, please search for help on stack overflow where the community have already,0
99,147164, please search for help on stack overflow where the community have already,0
100,147476, please search for help on stack overflow where the community have already,0
101,147528, please search for help on stack overflow where the community have already,0
102,147600, KDE ) and I al so issue with everything relate to github,0
103,147576, please search for help on stack overflow where the community have already,0
104,147558, please search for help on stack overflow where the community have already,0
105,144420," npm), and judge by the stack overflow post around this issue, i'm",-1
106,144420," npm), and judge by the stack overflow post around this issue, i'm",-1
107,147917, please search for help on stack overflow where the community have already,0
108,147860, please search for help on stack overflow where the community have already,0
109,147889, please search for help on stack overflow where the community have already,0
110,147961, please search for help on stack overflow where the community have already,0
111,148386, please search for help on stack overflow where the community have already,0
112,148465, please search for help on stack overflow where the community have already,0
113,148032, please search for help on stack overflow where the community have already,0
114,147943, please search for help on stack overflow where the community have already,0
115,148510,"  ( 16432, ' the stack overflow answer point out the Variables",0
116,148606, please search for help on stack overflow where the community have already,0
117,148756, please search for help on stack overflow where the community have already,0
118,148797, please search for help on stack overflow where the community have already,0
119,148995, please search for help on stack overflow where the community have already,0
120,149025, please search for help on stack overflow where the community have already,0
121,149040, please search for help on stack overflow where the community have already,0
122,149158, please search for help on stack overflow where the community have already,0
123,143921, please search for help on stack overflow where the community have already,0
124,149804, please search for help on stack overflow where the community have already,0
125,149814, please search for help on stack overflow where the community have already,0
126,149858, please search for help on stack overflow where the community have already,0
127,97475, open also a question on stack overflow in case there be a,0
128,150009, please search for help on stack overflow where the community have already,0
129,149590, please search for help on stack overflow where the community have already,0
130,150163, please search for help on stack overflow where the community have already,0
131,150114, please search for help on stack overflow where the community have already,0
132,150227, please search for help on stack overflow where the community have already,0
133,150145, please search for help on stack overflow where the community have already,0
134,150408, please search for help on stack overflow where the community have already,0
135,150414, please search for help on stack overflow where the community have already,0
136,153412, please search for help on stack overflow where the community have already,0
137,153581, please search for help on stack overflow where the community have already,0
138,153028, please search for help on stack overflow where the community have already,0
139,153714, please search for help on stack overflow where the community have already,0
140,153714, please search for help on stack overflow where the community have already,0
141,153804, please search for help on stack overflow where the community have already,0
142,153970, please search for help on stack overflow where the community have already,0
143,154039, please search for help on stack overflow where the community have already,0
144,154138, please search for help on stack overflow where the community have already,0
145,73379, please ask your question on stack overflow we have a great community,0
146,73375, please ask your question on stack overflow we have a great community,0
147,73649, please ask your question on stack overflow we have a great community,0
148,73663, ' please file this on stack overflow or google around for a,0
149,73584, doc for help or use stack overflow to help with your isse.,0
150,73584, please ask your question on stack overflow we have a great community,0
151,73694, please ask your question on stack overflow we have a great community,0
152,73772, Windows 8.1. I check with stack overflow ( not specifically for VS,0
153,73804, please ask your question on stack overflow we have a great community,0
154,73763, your machine. please ask on stack overflow as this do not seem,0
155,73846, please ask your question on stack overflow we have a great community,0
156,73991, please ask your question on stack overflow we have a great community,0
157,73958, please ask your question on stack overflow we have a great community,0
158,74080, please ask your question on stack overflow we have a great community,0
159,74099, please ask your question on stack overflow we have a great community,0
160,73917, please ask your question on stack overflow we have a great community,0
161,74199, please ask your question on stack overflow we have a great community,0
162,74032," 23647, ' @GraysonGao do this SO ost help you? SO-url",0
163,74032," 23648, ' @GraysonGao do this SO ost help you? SO-url that",0
164,74289, please ask your question on stack overflow we have a great community,0
165,74289, have open a question on stack overflow I do not know if,0
166,74289," see my answer at the stack overflow "" )",0
167,74327, please ask your question on stack overflow we have a great community,0
168,74370, please ask your question on stack overflow we have a great community,0
169,74424, please ask your question on stack overflow we have a great community,0
170,74576, please ask your question on stack overflow we have a great community,0
171,74419, please ask your question on stack overflow we have a great community,0
172,74368, please ask your question on stack overflow we have a great community,0
173,74308, please ask your question on stack overflow we have a great community,0
174,74694, please ask your question on stack overflow we have a great community,0
175,74707, please ask your question on stack overflow we have a great community,0
176,74776, please ask your question on stack overflow we have a great community,0
177,74739, please ask your question on stack overflow we have a great community,0
178,74982, please ask your question on stack overflow we have a great community,0
179,74982, Code. please try ask on stack overflow to start and post back,0
180,75303, please ask your question on stack overflow we have a great community,0
181,75390, please ask your question on stack overflow we have a great community,0
182,75393, please ask your question on stack overflow we have a great community,0
183,75408, please ask your question on stack overflow we have a great community,0
184,75365, please ask your question on stack overflow we have a great community,0
185,75540, please ask your question on stack overflow we have a great community,0
186,75605, please ask your question on stack overflow we have a great community,0
187,75483, please ask your question on stack overflow we have a great community,0
188,74913, just this after element. this stack overflow question may be relevant: SO-url,0
189,75925, please ask your question on stack overflow we have a great community,0
190,75987, please ask your question on stack overflow we have a great community,0
191,75987, please ask your question on stack overflow we have a great community,0
192,75975, please ask your question on stack overflow we have a great community,0
193,76364, please ask your question on stack overflow we have a great community,0
194,76331, please ask your question on stack overflow we have a great community,0
195,76435, please ask your question on stack overflow we have a great community,0
196,76280, please ask your question on stack overflow we have a great community,0
197,76391, would be well post on stack overflow where some one can help,0
198,76391, please ask your question on stack overflow we have a great community,0
199,76293, please ask your question on stack overflow we have a great community,0
200,75648, please ask your question on stack overflow we have a great community,0
201,76780, please ask your question on stack overflow we have a great community,0
202,76776, please ask your question on stack overflow we have a great community,0
203,76804, please ask your question on stack overflow we have a great community,0
204,76849, please ask your question on stack overflow we have a great community,0
205,76578, please ask your question on stack overflow we have a great community,0
206,76906, please ask your question on stack overflow we have a great community,0
207,76937, please ask your question on stack overflow we have a great community,0
208,76958, please ask your question on stack overflow we have a great community,0
209,76970, please ask your question on stack overflow we have a great community,0
210,76974, please ask your question on stack overflow we have a great community,0
211,77021, please ask your question on stack overflow we have a great community,0
212,77039, please ask your question on stack overflow we have a great community,0
213,77039, please ask your question on stack overflow we have a great community,0
214,50341," AltGr, evident also by this stack overflow post: SO-url what I want",0
215,77083, please ask your question on stack overflow we have a great community,0
216,77085, please ask your question on stack overflow we have a great community,0
217,77118, please ask your question on stack overflow we have a great community,0
218,77122, please ask your question on stack overflow we have a great community,0
219,77180," like this one. please use stack overflow com instead. anyway, you have",0
220,77193, please ask your question on stack overflow we have a great community,0
221,77239, issue here and questions/answer on stack overflow that it's hard to be,0
222,77301, please ask your question on stack overflow we have a great community,0
223,77304, please ask your question on stack overflow we have a great community,0
224,77307, please ask your question on stack overflow we have a great community,0
225,77330, please ask your question on stack overflow we have a great community,0
226,77404, please ask your question on stack overflow we have a great community,0
227,77399, please ask your question on stack overflow we have a great community,0
228,77373, please ask your question on stack overflow we have a great community,0
229,77469, please ask your question on stack overflow we have a great community,0
230,77504, please ask your question on stack overflow we have a great community,0
231,77526, please ask your question on stack overflow we have a great community,0
232,77273, vscodebot redirect the user to stack overflow ' ),0
233,77581, please ask your question on stack overflow we have a great community,0
234,77648, please ask your question on stack overflow we have a great community,0
235,77621, please ask your question on stack overflow we have a great community,0
236,77669, please ask your question on stack overflow we have a great community,0
237,77627, please ask your question on stack overflow we have a great community,0
238,77374, please ask your question on stack overflow we have a great community,0
239,77258, please ask your question on stack overflow we have a great community,0
240,77719, please ask your question on stack overflow we have a great community,0
241,77707, please ask your question on stack overflow we have a great community,0
242,77478, please ask your question on stack overflow we have a great community,0
243,77814, please ask your question on stack overflow we have a great community,0
244,77717, work fine. please search around stack overflow and our issue to find,0
245,76779," it’s useless all the time, so issue be about respect our “hide""",-1
246,66357, please ask your question on stack overflow we have a great community,0
247,77342, please ask your question on stack overflow we have a great community,0
248,77713, please ask your question on stack overflow we have a great community,0
249,77713, please ask your question on stack overflow we have a great community,0
250,78053, please ask your question on stack overflow we have a great community,0
251,77902, please ask your question on stack overflow we have a great community,0
252,77902, i'm not a user on stack overflow as there guideline be a,0
253,77529, please ask your question on stack overflow we have a great community,0
254,77325, please ask your question on stack overflow we have a great community,0
255,77844, i've just verify this on stack overflow and I cannot reproduce what,0
256,77844," leverage the fantastic community on stack overflow "" )",0
257,77844, but I get the normal stack overflow Question page again which make,0
258,77844," Code tag issue. I blame stack overflow for this one, and somewhat",0
259,77844, Code for point to it; SO e just not as useful,-1
260,77844, so I still don\'t consider SO o be the good place,-1
261,73557, please ask your question on stack overflow we have a great community,0
262,78152, please ask your question on stack overflow we have a great community,0
263,70433, please ask your question on stack overflow we have a great community,0
264,70433," and "" go ask on SO feel like an insult after",-1
265,69630, please ask your question on stack overflow we have a great community,0
266,78420, just answer your question on SO :>} ' ),0
267,78437," it should be ask on stack overflow com, not on issue tracker",0
268,78437, please ask your question on stack overflow we have a great community,0
269,78418, to ask this question on stack overflow if you want just run,0
270,78418, please ask your question on stack overflow we have a great community,0
271,77679," that, because there be al so issue with extension not load properly.",-1
272,78549, please ask your question on stack overflow we have a great community,0
273,78110," support question well suit for stack overflow "" )",0
274,78110, z]))/${2:/upcase}${3:/upcase}/g} Output AnySnakeCaseText ps: @jonschlinkert stack overflow be for loss 😆 ',-1
275,78593, please ask your question on stack overflow we have a great community,0
276,78668, please ask your question on stack overflow we have a great community,0
277,78571, please ask your question on stack overflow we have a great community,0
278,78692, code - specific maybe use stack overflow and the visual - studio,0
279,78730, please ask your question on stack overflow we have a great community,0
280,78765, please ask your question on stack overflow we have a great community,0
281,78779, please ask your question on stack overflow we have a great community,0
282,78742, please ask your question on stack overflow we have a great community,0
283,78423, please ask your question on stack overflow we have a great community,0
284,78486, please ask your question on stack overflow we have a great community,0
285,78899, please ask your question on stack overflow we have a great community,0
286,78858, please ask your question on stack overflow we have a great community,0
287,78909, please ask your question on stack overflow we have a great community,0
288,78904, please ask your question on stack overflow we have a great community,0
289,19105," veracity of this response in stack overflow if true, extension developer also",-1
290,78969, please ask your question on stack overflow we have a great community,0
291,78997, why I point you to stack overflow in #78486 ' ),0
292,79018, please ask your question on stack overflow we have a great community,0
293,79019, please ask your question on stack overflow we have a great community,0
294,78993, please ask your question on stack overflow we have a great community,0
295,78994, please ask your question on stack overflow we have a great community,0
296,79031, please ask your question on stack overflow we have a great community,0
297,56883, you can also link to stack overflow ( we could also add,0
298,79023, please ask your question on stack overflow we have a great community,0
299,79040," and a bunch of related stack overflow question with a search. """,0
300,79103, please ask your question on stack overflow we have a great community,0
301,79112, please ask your question on stack overflow we have a great community,0
302,79185, please ask your question on stack overflow we have a great community,0
303,79134, please ask your question on stack overflow we have a great community,0
